Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
3262, 36.2200, Top, ShelfToys, 4.5613, 1.2191, 9.2235, 0.0462, 0.9816, 0.0418, 4.4332, 1.2337, 9.1752, 0.0462, 0.9816, 0.0418, 4.5322, 1.2225, 9.2125, 5.5319, 1.4138, 6.5271
3262, 36.2200, Top, ShelfToys, 4.5613, 1.2191, 9.2235, 0.0462, 0.9816, 0.0418, 4.4332, 1.2337, 9.1752, 0.0462, 0.9816, 0.0418, 4.5322, 1.2225, 9.2125, 5.6266, 1.4138, 6.4546
3263, 36.2400, Top, ShelfToys, 4.5624, 1.2215, 9.2251, 0.0476, 0.9804, 0.0551, 4.4346, 1.2371, 9.1764, 0.0476, 0.9804, 0.0551, 4.5333, 1.2251, 9.2141, 5.3973, 1.4508, 6.9302
3263, 36.2400, Top, ShelfToys, 4.5624, 1.2215, 9.2251, 0.0476, 0.9804, 0.0551, 4.4346, 1.2371, 9.1764, 0.0476, 0.9804, 0.0551, 4.5333, 1.2251, 9.2141, 5.3973, 1.4292, 7.1005
3265, 36.2600, Top, ShelfToys, 4.5641, 1.2259, 9.2283, 0.0534, 0.9775, 0.0852, 4.4366, 1.2446, 9.1797, 0.0534, 0.9775, 0.0852, 4.5351, 1.2302, 9.2172, 5.3973, 1.5863, 7.0069
3265, 36.2600, Top, ShelfToys, 4.5641, 1.2259, 9.2283, 0.0534, 0.9775, 0.0852, 4.4366, 1.2446, 9.1797, 0.0534, 0.9775, 0.0852, 4.5351, 1.2302, 9.2172, 5.3973, 1.5548, 7.1722
3266, 36.2800, Top, ShelfToys, 4.5648, 1.2281, 9.2307, 0.0570, 0.9761, 0.0988, 4.4374, 1.2485, 9.1825, 0.0570, 0.9761, 0.0988, 4.5358, 1.2328, 9.2197, 5.3973, 1.6485, 7.0261
3266, 36.2800, Top, ShelfToys, 4.5648, 1.2281, 9.2307, 0.0570, 0.9761, 0.0988, 4.4374, 1.2485, 9.1825, 0.0570, 0.9761, 0.0988, 4.5358, 1.2328, 9.2197, 5.3973, 1.6125, 7.1902
3267, 36.3000, Top, ShelfToys, 4.5658, 1.2302, 9.2328, 0.0602, 0.9746, 0.1099, 4.4385, 1.2520, 9.1848, 0.0602, 0.9746, 0.1099, 4.5368, 1.2351, 9.2219, 5.3973, 1.6949, 7.0602
3267, 36.3000, Top, ShelfToys, 4.5658, 1.2302, 9.2328, 0.0602, 0.9746, 0.1099, 4.4385, 1.2520, 9.1848, 0.0602, 0.9746, 0.1099, 4.5368, 1.2351, 9.2219, 5.3973, 1.6553, 7.2221
3269, 36.3200, Top, ShelfToys, 4.5677, 1.2341, 9.2364, 0.0584, 0.9711, 0.1338, 4.4408, 1.2567, 9.1880, 0.0584, 0.9711, 0.1338, 4.5388, 1.2392, 9.2254, 5.3973, 1.7959, 7.1441
