Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
3263, 36.2400, balon, Juguetes, 4.5624, 1.2215, 9.2251, 0.0476, 0.9804, 0.0551, 4.4346, 1.2371, 9.1764, 0.0476, 0.9804, 0.0551, 4.5333, 1.2251, 9.2141, 5.4935, 1.4747, 6.6856
3263, 36.2400, balon, Juguetes, 4.5624, 1.2215, 9.2251, 0.0476, 0.9804, 0.0551, 4.4346, 1.2371, 9.1764, 0.0476, 0.9804, 0.0551, 4.5333, 1.2251, 9.2141, 5.5658, 1.4711, 6.6719
3265, 36.2600, baby_yoda, Juguetes, 4.5641, 1.2259, 9.2283, 0.0534, 0.9775, 0.0852, 4.4366, 1.2446, 9.1797, 0.0534, 0.9775, 0.0852, 4.5351, 1.2302, 9.2172, 5.3256, 1.5265, 7.3493
3266, 36.2800, baby_yoda, Juguetes, 4.5648, 1.2281, 9.2307, 0.0570, 0.9761, 0.0988, 4.4374, 1.2485, 9.1825, 0.0570, 0.9761, 0.0988, 4.5358, 1.2328, 9.2197, 5.3204, 1.5770, 7.3787
3267, 36.3000, baby_yoda, Juguetes, 4.5658, 1.2302, 9.2328, 0.0602, 0.9746, 0.1099, 4.4385, 1.2520, 9.1848, 0.0602, 0.9746, 0.1099, 4.5368, 1.2351, 9.2219, 5.3106, 1.6505, 7.2699
3267, 36.3000, baby_yoda, Juguetes, 4.5658, 1.2302, 9.2328, 0.0602, 0.9746, 0.1099, 4.4385, 1.2520, 9.1848, 0.0602, 0.9746, 0.1099, 4.5368, 1.2351, 9.2219, 5.3256, 1.6187, 7.3955
3269, 36.3200, baby_yoda, Juguetes, 4.5677, 1.2341, 9.2364, 0.0584, 0.9711, 0.1338, 4.4408, 1.2567, 9.1880, 0.0584, 0.9711, 0.1338, 4.5388, 1.2392, 9.2254, 5.3611, 1.7272, 7.3856
3282, 36.5000, letrero_juguetes, ==LETREROS==, 4.5671, 1.2559, 9.2638, 0.0550, 0.9563, 0.2427, 4.4367, 1.2807, 9.2271, 0.0550, 0.9563, 0.2427, 4.5374, 1.2615, 9.2555, 5.5969, 2.7878, 6.4080
3282, 36.5000, letrero_juguetes, ==LETREROS==, 4.5671, 1.2559, 9.2638, 0.0550, 0.9563, 0.2427, 4.4367, 1.2807, 9.2271, 0.0550, 0.9563, 0.2427, 4.5374, 1.2615, 9.2555, 5.6644, 2.7878, 6.4037
3283, 36.5200, letrero_juguetes, ==LETREROS==, 4.5667, 1.2572, 9.2653, 0.0554, 0.9559, 0.2469, 4.4359, 1.2820, 9.2298, 0.0554, 0.9559, 0.2469, 4.5369, 1.2629, 9.2572, 5.5493, 2.7878, 6.4688
3283, 36.5200, letrero_juguetes, ==LETREROS==, 4.5667, 1.2572, 9.2653, 0.0554, 0.9559, 0.2469, 4.4359, 1.2820, 9.2298, 0.0554, 0.9559, 0.2469, 4.5369, 1.2629, 9.2572, 5.6165, 2.7878, 6.4644
3285, 36.5400, letrero_juguetes, ==LETREROS==, 4.5650, 1.2588, 9.2683, 0.0552, 0.9548, 0.2571, 4.4334, 1.2831, 9.2358, 0.0552, 0.9548, 0.2571, 4.5351, 1.2644, 9.2609, 5.4384, 2.7878, 6.6067
3285, 36.5400, letrero_juguetes, ==LETREROS==, 4.5650, 1.2588, 9.2683, 0.0552, 0.9548, 0.2571, 4.4334, 1.2831, 9.2358, 0.0552, 0.9548, 0.2571, 4.5351, 1.2644, 9.2609, 5.5051, 2.7878, 6.6022
3286, 36.5600, letrero_juguetes, ==LETREROS==, 4.5642, 1.2598, 9.2694, 0.0575, 0.9546, 0.2611, 4.4321, 1.2844, 9.2390, 0.0575, 0.9546, 0.2611, 4.5341, 1.2654, 9.2625, 5.3846, 2.7878, 6.6543
3286, 36.5600, letrero_juguetes, ==LETREROS==, 4.5642, 1.2598, 9.2694, 0.0575, 0.9546, 0.2611, 4.4321, 1.2844, 9.2390, 0.0575, 0.9546, 0.2611, 4.5341, 1.2654, 9.2625, 5.4512, 2.7878, 6.6490
3288, 36.5800, letrero_juguetes, ==LETREROS==, 4.5629, 1.2614, 9.2718, 0.0585, 0.9543, 0.2659, 4.4303, 1.2858, 9.2438, 0.0585, 0.9543, 0.2659, 4.5327, 1.2670, 9.2655, 5.3356, 2.8166, 6.6660
