Frame, Timestamp, Object, Section, State, Position_x, Position_y, Position_z, Rotation_x, Rotation_y, Rotation_z, Scale_x, Scale_y, Scale_z, RightHand_State, LeftHand_State
1959, 19.4670, baby_yoda, Juguetes, Select, 5.5248, 1.4116, 7.2942, 2.7523, 275.5250, 356.5395, 0.1060, 0.1060, 0.1060, Select, Normal
1962, 19.5076, baby_yoda, Juguetes, Select, 5.5291, 1.3949, 7.2221, 29.0969, 311.3760, 340.4617, 0.1060, 0.1060, 0.1060, Select, Normal
1965, 19.5494, baby_yoda, Juguetes, Select, 5.5117, 1.4024, 7.2002, 39.5245, 323.6362, 339.1571, 0.1060, 0.1060, 0.1060, Select, Normal
1968, 19.5899, baby_yoda, Juguetes, Select, 5.5123, 1.4048, 7.2004, 40.1394, 323.4456, 339.3712, 0.1060, 0.1060, 0.1060, Select, Normal
1971, 19.6325, baby_yoda, Juguetes, Select, 5.5129, 1.4056, 7.2013, 40.3718, 323.0114, 339.4067, 0.1060, 0.1060, 0.1060, Select, Normal
1974, 19.6745, baby_yoda, Juguetes, Select, 5.5128, 1.4047, 7.2016, 40.1670, 322.8383, 339.3421, 0.1060, 0.1060, 0.1060, Select, Normal
1977, 19.7164, baby_yoda, Juguetes, Select, 5.5124, 1.4045, 7.2019, 40.0729, 322.8624, 339.4653, 0.1060, 0.1060, 0.1060, Select, Normal
1980, 19.7577, baby_yoda, Juguetes, Select, 5.5117, 1.4044, 7.2020, 39.9473, 323.0834, 339.6241, 0.1060, 0.1060, 0.1060, Select, Normal
1983, 19.7992, baby_yoda, Juguetes, Select, 5.5112, 1.4043, 7.2036, 39.6482, 322.9428, 339.8014, 0.1060, 0.1060, 0.1060, Select, Normal
1986, 19.8415, baby_yoda, Juguetes, Select, 5.5107, 1.4042, 7.2064, 39.3962, 321.8841, 339.2095, 0.1060, 0.1060, 0.1060, Select, Normal
1989, 19.8824, baby_yoda, Juguetes, Select, 5.5100, 1.4077, 7.2164, 39.6874, 317.7205, 336.5534, 0.1060, 0.1060, 0.1060, Select, Normal
1992, 19.9241, baby_yoda, Juguetes, Select, 5.5066, 1.4115, 7.2252, 39.7959, 314.5945, 334.3257, 0.1060, 0.1060, 0.1060, Select, Normal
1995, 19.9660, baby_yoda, Juguetes, Select, 5.5024, 1.4159, 7.2399, 40.2698, 308.8910, 330.5444, 0.1060, 0.1060, 0.1060, Select, Normal
1998, 20.0072, baby_yoda, Juguetes, Select, 5.4994, 1.4180, 7.2559, 40.6787, 302.3077, 326.7655, 0.1060, 0.1060, 0.1060, Select, Normal
2000, 20.0382, baby_yoda, Juguetes, Select, 5.4954, 1.4169, 7.2649, 40.7691, 297.8597, 324.0670, 0.1060, 0.1060, 0.1060, Select, Normal
2003, 20.0770, baby_yoda, Juguetes, Select, 5.4931, 1.4104, 7.2929, 39.9157, 281.0474, 312.5406, 0.1060, 0.1060, 0.1060, Select, Normal
2006, 20.1186, baby_yoda, Juguetes, Select, 5.4889, 1.4051, 7.3043, 39.0678, 274.7712, 307.6567, 0.1060, 0.1060, 0.1060, Select, Normal
