Frame, Timestamp, RightHand_State, LeftHand_State
516, 7.2174, Disabled, Disabled
517, 7.2367, Disabled, Select
518, 7.2460, Disabled, Disabled
519, 7.2609, Disabled, Hover
520, 7.2748, Disabled, Hover
521, 7.2880, Disabled, Hover
522, 7.3022, Disabled, Hover
523, 7.3156, Disabled, Hover
524, 7.3294, Disabled, Hover
525, 7.3434, Disabled, Hover
526, 7.3579, Disabled, Hover
527, 7.3704, Disabled, Hover
528, 7.3843, Disabled, Hover
529, 7.3993, Disabled, Hover
530, 7.4119, Disabled, Hover
531, 7.4267, Disabled, Hover
532, 7.4403, Disabled, Hover
533, 7.4538, Disabled, Hover
534, 7.4673, Disabled, Hover
535, 7.4817, Disabled, Hover
536, 7.4957, Disabled, Hover
537, 7.5091, Disabled, Hover
538, 7.5232, Disabled, Hover
539, 7.5367, Disabled, Hover
540, 7.5502, Disabled, Hover
541, 7.5646, Disabled, Hover
542, 7.5792, Disabled, Hover
543, 7.5926, Disabled, Hover
544, 7.6065, Disabled, Hover
545, 7.6207, Disabled, Hover
546, 7.6342, Disabled, Hover
547, 7.6481, Disabled, Hover
548, 7.6627, Disabled, Hover
549, 7.6769, Disabled, Hover
550, 7.6898, Disabled, Hover
551, 7.7040, Disabled, Hover
552, 7.7189, Disabled, Hover
1607, 22.3718, Disabled, Disabled
1608, 22.3868, Disabled, Hover
1609, 22.4012, Disabled, Disabled
1610, 22.4143, Disabled, Hover
1611, 22.4281, Disabled, Disabled
1612, 22.4427, Disabled, Hover
1613, 22.4556, Disabled, Hover
1614, 22.4701, Disabled, Hover
1615, 22.4845, Disabled, Hover
1616, 22.4977, Disabled, Hover
1617, 22.5109, Disabled, Hover
1618, 22.5250, Disabled, Hover
1619, 22.5396, Disabled, Hover
1620, 22.5527, Disabled, Hover
1621, 22.5673, Disabled, Disabled
1622, 22.5816, Disabled, Hover
1623, 22.5949, Disabled, Hover
1624, 22.6077, Disabled, Hover
1625, 22.6231, Disabled, Hover
1626, 22.6364, Disabled, Hover
1627, 22.6499, Disabled, Hover
1628, 22.6644, Disabled, Hover
1629, 22.6781, Disabled, Hover
1630, 22.6916, Disabled, Hover
1631, 22.7059, Disabled, Hover
1632, 22.7202, Disabled, Hover
1633, 22.7334, Disabled, Hover
1634, 22.7468, Disabled, Hover
1635, 22.7614, Disabled, Hover
1636, 22.7759, Disabled, Hover
1637, 22.7884, Disabled, Hover
1638, 22.8027, Disabled, Hover
1639, 22.8165, Disabled, Hover
1640, 22.8303, Disabled, Hover
1641, 22.8450, Disabled, Hover
1642, 22.8588, Disabled, Hover
1643, 22.8720, Disabled, Hover
1644, 22.8874, Disabled, Hover
1645, 22.9005, Disabled, Hover
1646, 22.9144, Disabled, Hover
1647, 22.9295, Disabled, Hover
1648, 22.9422, Disabled, Hover
1649, 22.9555, Disabled, Hover
1650, 22.9686, Disabled, Hover
1651, 22.9835, Disabled, Hover
1652, 22.9978, Disabled, Hover
1653, 23.0110, Disabled, Hover
1654, 23.0246, Disabled, Hover
1655, 23.0391, Disabled, Hover
1656, 23.0521, Disabled, Hover
1657, 23.0672, Disabled, Hover
1658, 23.0813, Disabled, Hover
1659, 23.0944, Disabled, Hover
1660, 23.1076, Disabled, Hover
1661, 23.1224, Disabled, Hover
1662, 23.1357, Disabled, Hover
1663, 23.1559, Disabled, Hover
1664, 23.1663, Disabled, Hover
1665, 23.1802, Disabled, Hover
1666, 23.1932, Disabled, Hover
1667, 23.2067, Disabled, Hover
1668, 23.2210, Disabled, Hover
1669, 23.2341, Disabled, Hover
1670, 23.2479, Disabled, Hover
1671, 23.2616, Disabled, Select
1672, 23.2759, Disabled, Disabled
1673, 23.2892, Disabled, Hover
1674, 23.3034, Disabled, Disabled
1675, 23.3168, Disabled, Hover
1676, 23.3306, Disabled, Disabled
1677, 23.3444, Disabled, Hover
1678, 23.3586, Disabled, Disabled
1679, 23.3712, Disabled, Hover
1680, 23.3858, Disabled, Hover
1681, 23.4003, Disabled, Hover
1682, 23.4135, Disabled, Hover
1683, 23.4268, Disabled, Hover
1684, 23.4411, Disabled, Hover
1685, 23.4551, Disabled, Hover
1686, 23.4687, Disabled, Hover
1687, 23.4836, Disabled, Hover
1688, 23.4973, Disabled, Hover
1689, 23.5105, Disabled, Hover
1690, 23.5244, Disabled, Hover
1691, 23.5385, Disabled, Hover
1692, 23.5517, Disabled, Hover
1693, 23.5664, Disabled, Disabled
1694, 23.5805, Disabled, Hover
1695, 23.5944, Disabled, Disabled
1696, 23.6074, Disabled, Hover
1697, 23.6214, Disabled, Disabled
1698, 23.6355, Disabled, Hover
1699, 23.6495, Disabled, Disabled
1700, 23.6637, Disabled, Hover
1701, 23.6775, Disabled, Disabled
1702, 23.6904, Disabled, Hover
1703, 23.7047, Disabled, Disabled
1704, 23.7190, Disabled, Hover
1705, 23.7328, Disabled, Disabled
1706, 23.7477, Disabled, Hover
1707, 23.7620, Disabled, Disabled
1708, 23.7745, Disabled, Hover
1709, 23.7875, Disabled, Disabled
1710, 23.8018, Disabled, Hover
1711, 23.8168, Disabled, Disabled
1712, 23.8302, Disabled, Hover
1713, 23.8440, Disabled, Disabled
1714, 23.8580, Disabled, Hover
1715, 23.8713, Disabled, Disabled
1716, 23.8856, Disabled, Hover
1717, 23.9004, Disabled, Disabled
1718, 23.9145, Disabled, Hover
