Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
1763, 12.4086, TP_Juguetes_Adjacent, 4.4422, 9.6584, 0.0271, False, Unknown, 0.0000, Hover, Disabled
1779, 12.6301, TP_Juguetes2_Adjacent, 4.4457, 9.6618, 0.2215, False, Unknown, 0.0000, Hover, Disabled
2033, 16.1721, TP_Juguetes2_Adjacent, 4.4535, 9.6537, 2.6532, False, Unknown, 0.0000, Hover, Disabled
2099, 17.0892, TP_Juguetes_Adjacent, 4.4549, 9.6532, 0.9171, False, Unknown, 0.0000, Hover, Disabled
2342, 25.4684, TP_Juguetes2_Adjacent, 5.1940, 7.7099, 3.3792, True, Unknown, 2.9726, Select, Disabled
6536, 78.7258, TP_Mid_3, 5.1019, 7.6148, 0.9584, False, Unknown, 0.0000, Hover, Disabled
6584, 79.3921, TP_Mid_3, 5.1002, 7.6140, 0.5416, False, Unknown, 0.0000, Hover, Disabled
6995, 85.1017, TP_Mid_3, -1.1290, 7.1821, 5.5425, True, Unknown, 6.0911, Select, Disabled
7022, 85.4782, TP_Mid_6, -1.1263, 7.1821, 0.3612, False, Unknown, 0.0000, Hover, Disabled
7033, 85.6289, TP_Tecnologia_Adjacent, -1.1225, 7.1805, 0.0266, False, Unknown, 0.0000, Hover, Disabled
7044, 85.7820, TP_Mid_4, -1.1183, 7.1782, 0.0142, False, Unknown, 0.0000, Disabled, Disabled
7184, 87.7369, TP_Mid_4, -1.1264, 7.1781, 0.1456, False, Unknown, 0.0000, Disabled, Hover
7300, 89.3521, TP_Mid_4, -1.1721, 7.1844, 1.0967, False, Unknown, 0.0000, Disabled, Hover
7337, 89.8663, TP_Mid_4, -1.1991, 7.1950, 0.4720, False, Unknown, 0.0000, Disabled, Hover
8018, 99.3238, TP_Decoracion2_Adjacent, -1.2120, 7.2018, 8.7357, False, Unknown, 0.0000, Disabled, Hover
8368, 104.1858, TP_Decoracion2_Adjacent, -1.2143, 7.2090, 2.5993, False, Unknown, 0.0000, Hover, Disabled
8584, 107.1858, TP_Decoracion2_Adjacent, -4.4768, 4.9920, 2.9584, True, Unknown, 10.0526, Select, Disabled
8590, 107.2682, TP_Mid_7, -4.4756, 4.9923, 0.0264, False, Unknown, 0.0000, Hover, Disabled
11305, 144.9727, TP_Mid_4, -4.4003, 5.0386, 1.0687, False, Unknown, 0.0000, Hover, Disabled
11370, 145.8772, TP_Mid_5, -4.4154, 5.0726, 0.3616, False, Unknown, 0.0000, Hover, Disabled
11402, 146.3220, TP_Moda2_Adjacent, -4.4204, 5.0610, 0.1540, False, Unknown, 0.0000, Hover, Disabled
11464, 147.1826, TP_Mid_5, -4.4166, 5.0524, 0.5550, False, Unknown, 0.0000, Hover, Disabled
11481, 147.4199, TP_Mid_2, -4.4141, 5.0533, 0.2233, False, Unknown, 0.0000, Hover, Disabled
11518, 147.9317, TP_Mid_2, -4.4171, 5.0544, 0.4702, False, Unknown, 0.0000, Hover, Disabled
11735, 150.9459, TP_Mid_5, -4.4180, 5.0606, 3.2776, False, Unknown, 0.0000, Hover, Disabled
11769, 151.4176, TP_Mid_2, -4.4204, 5.0655, 0.1529, False, Unknown, 0.0000, Hover, Disabled
12029, 155.0296, TP_Mid_5, 2.7810, 2.6870, 3.5562, True, Unknown, 7.0709, Select, Disabled
12152, 156.7399, TP_Comida2_Adjacent, 2.7277, 2.6694, 0.0294, False, Unknown, 0.0000, Hover, Disabled
12629, 163.3627, TP_Moda2_Adjacent, 2.7359, 2.6698, 0.2631, False, Unknown, 0.0000, Hover, Disabled
12944, 167.7382, TP_Moda2_Adjacent, 6.0308, 2.1532, 3.7502, True, Unknown, 7.5570, Select, Disabled
15926, 209.1533, TP_Mid_2, 6.0076, 2.1246, 0.1508, False, Unknown, 0.0000, Hover, Disabled
16084, 211.3486, TP_Mid, 6.0144, 2.1309, 2.0835, False, Unknown, 0.0000, Hover, Disabled
16120, 211.8488, TP_Mid, 6.0168, 2.1280, 0.1949, False, Unknown, 0.0000, Hover, Disabled
16420, 216.0151, TP_Mid, 2.0902, 7.3579, 3.8751, True, Unknown, 3.2451, Select, Disabled
16448, 216.4035, TP_Mid_5, 2.1104, 7.3555, 0.1108, False, Unknown, 0.0000, Hover, Disabled
16463, 216.6110, TP_Mid_2, 2.1212, 7.3565, 0.2076, False, Unknown, 0.0000, Disabled, Disabled
16627, 218.8894, TP_Mid_5, 2.0973, 7.3499, 0.0691, False, Unknown, 0.0000, Hover, Disabled
16628, 218.9036, TP_Mid_2, 2.0971, 7.3501, 0.0142, False, Unknown, 0.0000, Disabled, Disabled
16680, 219.6259, TP_Mid_2, 2.0994, 7.3487, 0.6387, False, Unknown, 0.0000, Hover, Disabled
17172, 226.4582, TP_Juguetes_Adjacent, 5.1940, 6.8280, 1.0280, True, Unknown, 2.8133, Select, Disabled
19380, 257.1386, TP_Moda_Adjacent, 5.2017, 6.7820, 0.0285, False, Unknown, 0.0000, Hover, Disabled
19571, 259.7898, TP_Mid_5, 5.0986, 6.7392, 0.0125, False, Unknown, 0.0000, Disabled, Disabled
19702, 261.6104, TP_Mid_5, 5.1020, 6.7367, 0.6948, False, Unknown, 0.0000, Disabled, Hover
20009, 265.8753, TP_Mid_5, 5.0789, 6.7432, 4.0563, False, Unknown, 0.0000, Disabled, Hover
20010, 265.8892, TP_Mid_2, 5.0790, 6.7430, 0.0139, False, Unknown, 0.0000, Disabled, Hover
20116, 267.3611, TP_Mid_8, 5.1401, 6.7840, 0.4741, False, Unknown, 0.0000, Hover, Disabled
20166, 268.0558, TP_Mid_6, 5.1135, 6.7722, 0.4876, False, Unknown, 0.0000, Hover, Disabled
20174, 268.1660, TP_Comida_Adjacent, 5.1150, 6.7731, 0.0980, False, Unknown, 0.0000, Hover, Disabled
20278, 269.6106, TP_Mid_5, 2.7813, 2.6872, 0.6666, True, Unknown, 7.0706, Select, Disabled
20647, 274.7339, TP_Mid_8, 2.8500, 2.7070, 0.5697, False, Unknown, 0.0000, Hover, Disabled
20684, 275.2472, TP_Mid_8, 2.8493, 2.7029, 0.3875, False, Unknown, 0.0000, Disabled, Disabled
20886, 278.0557, TP_Mid_6, 2.8573, 2.7051, 0.2075, False, Unknown, 0.0000, Hover, Disabled
20997, 279.5968, TP_Tecnologia_Adjacent, -1.6720, 0.6369, 0.5968, True, Unknown, 10.8317, Select, Disabled
