Frame, Timestamp, Object, State, Handedness
1661, 18.2489, balon, Pointing, RightHanded
1955, 22.3317, balon, Pointing, RightHanded
1956, 22.3468, balon, Pointing, RightHanded
1957, 22.3605, balon, Pointing, RightHanded
1958, 22.3747, balon, Pointing, RightHanded
1959, 22.3875, balon, Pointing, RightHanded
1960, 22.4018, balon, Pointing, RightHanded
1961, 22.4157, balon, Pointing, RightHanded
1962, 22.4290, balon, Pointing, RightHanded
1963, 22.4440, balon, Pointing, RightHanded
1964, 22.4575, balon, Pointing, RightHanded
1996, 22.9006, balon, Pointing, LeftHanded
1997, 22.9161, balon, Pointing, LeftHanded
1998, 22.9296, balon, Pointing, LeftHanded
1999, 22.9441, balon, Pointing, LeftHanded
2000, 22.9585, balon, Pointing, LeftHanded
2001, 22.9694, balon, Pointing, LeftHanded
2002, 22.9837, balon, Pointing, LeftHanded
2003, 22.9982, balon, Pointing, LeftHanded
2003, 22.9982, balon, Pointing, RightHanded
2004, 23.0113, balon, Pointing, LeftHanded
2004, 23.0113, balon, Pointing, RightHanded
2005, 23.0258, balon, Pointing, LeftHanded
2005, 23.0258, balon, Pointing, RightHanded
2006, 23.0404, balon, Pointing, LeftHanded
2006, 23.0404, balon, Pointing, RightHanded
2007, 23.0543, balon, Pointing, LeftHanded
2007, 23.0543, balon, Pointing, RightHanded
2008, 23.0677, balon, Pointing, LeftHanded
2008, 23.0677, balon, Pointing, RightHanded
2009, 23.0812, balon, Pointing, LeftHanded
2009, 23.0812, balon, Pointing, RightHanded
2010, 23.0973, balon, Pointing, LeftHanded
2010, 23.0973, balon, Pointing, RightHanded
2011, 23.1097, balon, Pointing, LeftHanded
2011, 23.1097, balon, Pointing, RightHanded
2012, 23.1230, balon, Pointing, LeftHanded
2012, 23.1230, balon, Pointing, RightHanded
2013, 23.1363, balon, Pointing, LeftHanded
2013, 23.1363, balon, Pointing, RightHanded
2014, 23.1493, balon, Pointing, LeftHanded
2014, 23.1493, balon, Pointing, RightHanded
2015, 23.1639, balon, Pointing, LeftHanded
2015, 23.1639, balon, Pointing, RightHanded
2016, 23.1779, balon, Pointing, LeftHanded
2016, 23.1779, balon, Pointing, RightHanded
2017, 23.1918, balon, Pointing, LeftHanded
2017, 23.1918, balon, Pointing, RightHanded
2018, 23.2056, balon, Pointing, LeftHanded
2018, 23.2056, balon, Pointing, RightHanded
2019, 23.2193, balon, Pointing, LeftHanded
2019, 23.2193, balon, Pointing, RightHanded
2020, 23.2331, balon, Pointing, LeftHanded
2020, 23.2331, balon, Pointing, RightHanded
2021, 23.2472, balon, Pointing, LeftHanded
2021, 23.2472, balon, Pointing, RightHanded
2022, 23.2653, balon, Pointing, LeftHanded
2022, 23.2653, balon, Pointing, RightHanded
2023, 23.2763, balon, Pointing, LeftHanded
2023, 23.2763, balon, Pointing, RightHanded
2854, 34.8194, balon, Pointing, RightHanded
2855, 34.8328, balon, Pointing, RightHanded
2856, 34.8477, balon, Pointing, RightHanded
2857, 34.8631, balon, Pointing, RightHanded
2884, 35.2358, balon, Pointing, LeftHanded
2885, 35.2491, balon, Pointing, LeftHanded
2886, 35.2636, balon, Pointing, LeftHanded
2887, 35.2779, balon, Pointing, LeftHanded
2888, 35.2912, balon, Pointing, LeftHanded
2889, 35.3052, balon, Pointing, LeftHanded
2890, 35.3213, balon, Pointing, LeftHanded
2891, 35.3345, balon, Pointing, LeftHanded
2892, 35.3459, balon, Pointing, LeftHanded
4378, 55.9869, quemador, Pointing, LeftHanded
4379, 56.0007, quemador, Pointing, LeftHanded
4380, 56.0153, quemador, Pointing, LeftHanded
4381, 56.0281, quemador, Pointing, LeftHanded
4382, 56.0435, quemador, Pointing, LeftHanded
4383, 56.0576, quemador, Pointing, LeftHanded
4384, 56.0699, quemador, Pointing, LeftHanded
4385, 56.0836, quemador, Pointing, LeftHanded
4386, 56.0984, quemador, Pointing, LeftHanded
6411, 84.2201, quemador, Pointing, LeftHanded
6412, 84.2348, quemador, Pointing, LeftHanded
6413, 84.2491, quemador, Pointing, LeftHanded
6414, 84.2608, quemador, Pointing, LeftHanded
6415, 84.2745, quemador, Pointing, LeftHanded
6416, 84.2883, quemador, Pointing, LeftHanded
6417, 84.3023, quemador, Pointing, LeftHanded
6418, 84.3167, quemador, Pointing, LeftHanded
6419, 84.3300, quemador, Pointing, LeftHanded
6420, 84.3438, quemador, Pointing, LeftHanded
6421, 84.3581, quemador, Pointing, LeftHanded
6422, 84.3715, quemador, Pointing, LeftHanded
6423, 84.3875, quemador, Pointing, LeftHanded
6424, 84.4020, quemador, Pointing, LeftHanded
6425, 84.4140, quemador, Pointing, LeftHanded
6426, 84.4265, quemador, Pointing, LeftHanded
6427, 84.4409, quemador, Pointing, LeftHanded
6428, 84.4547, quemador, Pointing, LeftHanded
6429, 84.4686, quemador, Pointing, LeftHanded
6430, 84.4831, quemador, Pointing, LeftHanded
6431, 84.4969, quemador, Pointing, LeftHanded
6432, 84.5102, quemador, Pointing, LeftHanded
6433, 84.5244, quemador, Pointing, LeftHanded
6434, 84.5384, quemador, Pointing, LeftHanded
6435, 84.5524, quemador, Pointing, LeftHanded
6436, 84.5665, quemador, Pointing, LeftHanded
6437, 84.5800, quemador, Pointing, LeftHanded
6438, 84.5938, quemador, Pointing, LeftHanded
6439, 84.6081, quemador, Pointing, LeftHanded
6440, 84.6223, quemador, Pointing, LeftHanded
6441, 84.6359, quemador, Pointing, LeftHanded
6442, 84.6490, quemador, Pointing, LeftHanded
6443, 84.6695, quemador, Pointing, LeftHanded
6444, 84.6767, quemador, Pointing, LeftHanded
6445, 84.6907, quemador, Pointing, LeftHanded
6446, 84.7047, quemador, Pointing, LeftHanded
6447, 84.7190, quemador, Pointing, LeftHanded
6448, 84.7322, quemador, Pointing, LeftHanded
6449, 84.7469, quemador, Pointing, LeftHanded
6450, 84.7602, quemador, Pointing, LeftHanded
