Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
2918, 39.2000, Top, ShelfToys, 5.1930, 1.5727, 7.7412, -0.1418, -0.6927, 0.0671, 5.1973, 1.5867, 7.6042, -0.1418, -0.6927, 0.0671, 5.1940, 1.5759, 7.7100, 5.3973, 1.5137, 7.7100
2920, 39.2200, Top, ShelfToys, 5.1929, 1.5731, 7.7411, -0.1408, -0.6931, 0.0661, 5.1971, 1.5871, 7.6041, -0.1408, -0.6931, 0.0661, 5.1939, 1.5763, 7.7099, 5.3973, 1.5147, 7.7098
2921, 39.2400, Top, ShelfToys, 5.1929, 1.5733, 7.7411, -0.1398, -0.6936, 0.0656, 5.1969, 1.5873, 7.6040, -0.1398, -0.6936, 0.0656, 5.1938, 1.5765, 7.7098, 5.3973, 1.5154, 7.7096
2923, 39.2600, Top, ShelfToys, 5.1928, 1.5739, 7.7409, -0.1382, -0.6942, 0.0638, 5.1967, 1.5880, 7.6039, -0.1382, -0.6942, 0.0638, 5.1937, 1.5771, 7.7097, 5.3973, 1.5170, 7.7093
2924, 39.2800, Top, ShelfToys, 5.1927, 1.5745, 7.7407, -0.1373, -0.6946, 0.0624, 5.1964, 1.5887, 7.6037, -0.1373, -0.6946, 0.0624, 5.1935, 1.5777, 7.7095, 5.3973, 1.5183, 7.7090
2925, 39.3000, Top, ShelfToys, 5.1925, 1.5749, 7.7406, -0.1359, -0.6950, 0.0609, 5.1961, 1.5892, 7.6036, -0.1359, -0.6950, 0.0609, 5.1933, 1.5782, 7.7094, 5.3973, 1.5196, 7.7087
2927, 39.3200, Top, ShelfToys, 5.1923, 1.5758, 7.7404, -0.1331, -0.6960, 0.0579, 5.1956, 1.5901, 7.6034, -0.1331, -0.6960, 0.0579, 5.1930, 1.5791, 7.7092, 5.3973, 1.5223, 7.7083
2928, 39.3400, Top, ShelfToys, 5.1921, 1.5762, 7.7404, -0.1318, -0.6963, 0.0560, 5.1954, 1.5907, 7.6033, -0.1318, -0.6963, 0.0560, 5.1929, 1.5795, 7.7091, 5.3973, 1.5237, 7.7082
2930, 39.3600, Top, ShelfToys, 5.1919, 1.5777, 7.7400, -0.1282, -0.6974, 0.0509, 5.1950, 1.5924, 7.6030, -0.1282, -0.6974, 0.0509, 5.1926, 1.5810, 7.7088, 5.3973, 1.5279, 7.7077
2931, 39.3800, Top, ShelfToys, 5.1918, 1.5788, 7.7399, -0.1251, -0.6982, 0.0465, 5.1947, 1.5939, 7.6029, -0.1251, -0.6982, 0.0465, 5.1925, 1.5823, 7.7087, 5.3973, 1.5314, 7.7073
