Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
574, 3.2600, letrero_juguetes, ==SIGNBOARDS==, 4.5372, 1.1868, 9.6040, -0.0368, -0.9673, -0.2447, 4.4006, 1.2004, 9.5918, -0.0368, -0.9673, -0.2447, 4.5061, 1.1899, 9.6012, 4.9304, 2.7878, 6.6250
575, 3.2800, letrero_juguetes, ==SIGNBOARDS==, 4.5368, 1.1878, 9.6052, -0.0341, -0.9663, -0.2503, 4.4000, 1.2003, 9.5943, -0.0341, -0.9663, -0.2503, 4.5056, 1.1906, 9.6027, 4.8877, 2.8128, 6.6660
577, 3.3000, letrero_juguetes, ==SIGNBOARDS==, 4.5360, 1.1899, 9.6078, -0.0293, -0.9636, -0.2624, 4.3989, 1.2007, 9.5990, -0.0293, -0.9636, -0.2624, 4.5047, 1.1924, 9.6058, 4.8285, 2.9150, 6.6660
578, 3.3200, letrero_juguetes, ==SIGNBOARDS==, 4.5354, 1.1907, 9.6092, -0.0301, -0.9620, -0.2688, 4.3981, 1.2014, 9.6018, -0.0301, -0.9620, -0.2688, 4.5041, 1.1932, 9.6075, 4.8006, 2.9693, 6.6660
580, 3.3400, letrero_juguetes, ==SIGNBOARDS==, 4.5343, 1.1927, 9.6123, -0.0322, -0.9601, -0.2766, 4.3970, 1.2033, 9.6076, -0.0322, -0.9601, -0.2766, 4.5030, 1.1951, 9.6112, 4.7453, 3.0388, 6.6660
581, 3.3600, letrero_juguetes, ==SIGNBOARDS==, 4.5333, 1.1932, 9.6138, -0.0310, -0.9597, -0.2782, 4.3959, 1.2031, 9.6100, -0.0310, -0.9597, -0.2782, 4.5020, 1.1954, 9.6129, 4.7183, 3.0550, 6.6660
582, 3.3800, letrero_juguetes, ==SIGNBOARDS==, 4.5321, 1.1929, 9.6148, -0.0302, -0.9602, -0.2771, 4.3946, 1.2022, 9.6124, -0.0302, -0.9602, -0.2771, 4.5008, 1.1950, 9.6142, 4.6787, 3.0461, 6.6660
2868, 35.2000, balon, Juguetes, 4.5573, 1.1574, 9.6260, -0.0550, -0.9846, -0.0578, 4.4270, 1.1748, 9.5847, -0.0550, -0.9846, -0.0578, 4.5276, 1.1614, 9.6166, 5.4994, 1.4622, 6.6749
2870, 35.2200, balon, Juguetes, 4.5560, 1.1597, 9.6278, -0.0547, -0.9841, -0.0709, 4.4255, 1.1775, 9.5872, -0.0547, -0.9841, -0.0709, 4.5263, 1.1637, 9.6185, 5.4820, 1.5427, 6.7076
2871, 35.2400, balon, Juguetes, 4.5554, 1.1604, 9.6287, -0.0535, -0.9840, -0.0759, 4.4247, 1.1781, 9.5886, -0.0535, -0.9840, -0.0759, 4.5256, 1.1644, 9.6196, 5.4779, 1.5768, 6.7007
2873, 35.2600, balon, Juguetes, 4.5540, 1.1616, 9.6306, -0.0516, -0.9839, -0.0829, 4.4231, 1.1790, 9.5911, -0.0516, -0.9839, -0.0829, 4.5242, 1.1656, 9.6216, 5.4796, 1.6300, 6.6603
2899, 35.6400, balon, Juguetes, 4.5496, 1.1591, 9.6291, -0.0328, -0.9871, -0.0507, 4.4181, 1.1701, 9.5891, -0.0328, -0.9871, -0.0507, 4.5196, 1.1616, 9.6199, 5.4649, 1.4493, 6.5896
2900, 35.6600, balon, Juguetes, 4.5502, 1.1589, 9.6288, -0.0329, -0.9868, -0.0497, 4.4189, 1.1699, 9.5883, -0.0329, -0.9868, -0.0497, 4.5203, 1.1614, 9.6196, 5.4779, 1.4429, 6.5899
3014, 37.2400, baby_yoda, Juguetes, 4.5537, 1.1588, 9.6434, -0.0724, -0.9741, -0.0781, 4.4283, 1.1825, 9.5913, -0.0724, -0.9741, -0.0781, 4.5251, 1.1642, 9.6315, 5.5171, 1.4697, 7.3814
3016, 37.2600, baby_yoda, Juguetes, 4.5523, 1.1637, 9.6478, -0.0660, -0.9730, -0.1061, 4.4260, 1.1871, 9.5977, -0.0660, -0.9730, -0.1061, 4.5235, 1.1690, 9.6364, 5.4977, 1.6190, 7.3920
3017, 37.2800, baby_yoda, Juguetes, 4.5516, 1.1658, 9.6502, -0.0631, -0.9725, -0.1183, 4.4248, 1.1890, 9.6012, -0.0631, -0.9725, -0.1183, 4.5227, 1.1711, 9.6391, 5.4876, 1.6865, 7.3891
3046, 37.6800, baby_yoda, Juguetes, 4.5482, 1.1618, 9.6632, -0.0616, -0.9779, -0.0892, 4.4202, 1.1828, 9.6166, -0.0616, -0.9779, -0.0892, 4.5191, 1.1666, 9.6526, 5.4294, 1.5517, 7.3276
3047, 37.7000, baby_yoda, Juguetes, 4.5485, 1.1610, 9.6625, -0.0628, -0.9777, -0.0849, 4.4208, 1.1822, 9.6150, -0.0628, -0.9777, -0.0849, 4.5194, 1.1658, 9.6516, 5.4361, 1.5249, 7.3444
