Frame, Timestamp, Object, Section, State, Position_x, Position_y, Position_z, Rotation_x, Rotation_y, Rotation_z, Scale_x, Scale_y, Scale_z, RightHand_State, LeftHand_State
5271, 73.2929, baby_yoda, Juguetes, Select, 5.5230, 1.4199, 7.3018, 1.7010, 268.8333, 0.4997, 0.1060, 0.1060, 0.1060, Normal, Select
5274, 73.3343, baby_yoda, Juguetes, Select, 5.5302, 1.4206, 7.3021, 4.5289, 267.1028, 1.3752, 0.1060, 0.1060, 0.1060, Normal, Select
5277, 73.3761, baby_yoda, Juguetes, Select, 5.5340, 1.4214, 7.3019, 7.3594, 266.2061, 2.1834, 0.1060, 0.1060, 0.1060, Normal, Select
5280, 73.4168, baby_yoda, Juguetes, Select, 5.5344, 1.4236, 7.3006, 9.4749, 266.1341, 2.4400, 0.1060, 0.1060, 0.1060, Normal, Select
5283, 73.4586, baby_yoda, Juguetes, Select, 5.5326, 1.4260, 7.2994, 10.5067, 266.4963, 2.3978, 0.1060, 0.1060, 0.1060, Normal, Select
5286, 73.5004, baby_yoda, Juguetes, Select, 5.5305, 1.4278, 7.2985, 10.8060, 266.8934, 2.3086, 0.1060, 0.1060, 0.1060, Normal, Select
5289, 73.5420, baby_yoda, Juguetes, Select, 5.5274, 1.4282, 7.2979, 9.6665, 267.4937, 1.9880, 0.1060, 0.1060, 0.1060, Normal, Select
5292, 73.5833, baby_yoda, Juguetes, Select, 5.5260, 1.4289, 7.2979, 9.4521, 267.8423, 1.8178, 0.1060, 0.1060, 0.1060, Normal, Select
5295, 73.6253, baby_yoda, Juguetes, Select, 5.5243, 1.4292, 7.2974, 9.0332, 268.4124, 1.5659, 0.1060, 0.1060, 0.1060, Normal, Select
5298, 73.6665, baby_yoda, Juguetes, Select, 5.5224, 1.4311, 7.2960, 8.7791, 269.2210, 0.7666, 0.1060, 0.1060, 0.1060, Normal, Select
5301, 73.7076, baby_yoda, Juguetes, Select, 5.5208, 1.4310, 7.2953, 8.6341, 269.9961, 0.6057, 0.1060, 0.1060, 0.1060, Normal, Select
5304, 73.7494, baby_yoda, Juguetes, Select, 5.5210, 1.4313, 7.2952, 8.7546, 270.1477, 0.4159, 0.1060, 0.1060, 0.1060, Normal, Select
5307, 73.7908, baby_yoda, Juguetes, Select, 5.5215, 1.4327, 7.2946, 9.2426, 270.2415, 0.1186, 0.1060, 0.1060, 0.1060, Normal, Select
5310, 73.8330, baby_yoda, Juguetes, Select, 5.5223, 1.4336, 7.2944, 9.6669, 270.2189, 359.9881, 0.1060, 0.1060, 0.1060, Normal, Select
5313, 73.8751, baby_yoda, Juguetes, Select, 5.5236, 1.4345, 7.2950, 10.0861, 269.9616, 359.9042, 0.1060, 0.1060, 0.1060, Normal, Select
5316, 73.9176, baby_yoda, Juguetes, Select, 5.5236, 1.4359, 7.2954, 10.1666, 269.8903, 359.6226, 0.1060, 0.1060, 0.1060, Normal, Select
5319, 73.9583, baby_yoda, Juguetes, Select, 5.5230, 1.4363, 7.2959, 9.8777, 269.8467, 359.5715, 0.1060, 0.1060, 0.1060, Normal, Select
5322, 74.0002, baby_yoda, Juguetes, Select, 5.5222, 1.4366, 7.2962, 9.6380, 269.8677, 359.5274, 0.1060, 0.1060, 0.1060, Normal, Select
5325, 74.0417, baby_yoda, Juguetes, Select, 5.5220, 1.4367, 7.2965, 9.4538, 269.5772, 359.4959, 0.1060, 0.1060, 0.1060, Normal, Select
5328, 74.0841, baby_yoda, Juguetes, Select, 5.5216, 1.4368, 7.2964, 9.5125, 269.5160, 359.4892, 0.1060, 0.1060, 0.1060, Normal, Select
5331, 74.1254, baby_yoda, Juguetes, Select, 5.5203, 1.4371, 7.2960, 9.6137, 269.7928, 359.3827, 0.1060, 0.1060, 0.1060, Normal, Select
