Frame, Timestamp, RightHand_State, LeftHand_State
1511, 21.0479, Disabled, Hover
1512, 21.0607, Disabled, Hover
1513, 21.0747, Disabled, Hover
1514, 21.0890, Disabled, Hover
1515, 21.1055, Disabled, Hover
1516, 21.1204, Disabled, Hover
1517, 21.1352, Disabled, Hover
1518, 21.1491, Disabled, Hover
1519, 21.1642, Disabled, Hover
1520, 21.1785, Disabled, Hover
1521, 21.1924, Disabled, Hover
1522, 21.2077, Disabled, Hover
1523, 21.2216, Disabled, Hover
1524, 21.2368, Disabled, Hover
1525, 21.2498, Disabled, Hover
1526, 21.2647, Disabled, Hover
1527, 21.2787, Disabled, Hover
1528, 21.2925, Disabled, Hover
1529, 21.3064, Disabled, Hover
1530, 21.3213, Disabled, Hover
1531, 21.3348, Disabled, Hover
1532, 21.3477, Disabled, Hover
1533, 21.3630, Disabled, Hover
1534, 21.3769, Disabled, Hover
1535, 21.3895, Disabled, Hover
1536, 21.4045, Disabled, Hover
1537, 21.4193, Disabled, Hover
1538, 21.4324, Disabled, Hover
1539, 21.4453, Disabled, Hover
1540, 21.4592, Disabled, Hover
1541, 21.4727, Disabled, Hover
1542, 21.4878, Disabled, Hover
1543, 21.5015, Disabled, Hover
1544, 21.5151, Disabled, Hover
1545, 21.5289, Disabled, Hover
1546, 21.5432, Disabled, Hover
1547, 21.5569, Disabled, Hover
1548, 21.5703, Disabled, Hover
1549, 21.5851, Disabled, Hover
2696, 37.5171, Disabled, Hover
2697, 37.5304, Disabled, Hover
2698, 37.5453, Disabled, Hover
4070, 56.5986, Disabled, Hover
4071, 56.6125, Disabled, Hover
4072, 56.6276, Disabled, Hover
4073, 56.6410, Disabled, Hover
4074, 56.6554, Disabled, Hover
4075, 56.6676, Disabled, Hover
4076, 56.6829, Disabled, Hover
4077, 56.6968, Disabled, Hover
4078, 56.7101, Disabled, Hover
4079, 56.7241, Disabled, Hover
4080, 56.7377, Disabled, Hover
4081, 56.7511, Disabled, Hover
4082, 56.7666, Disabled, Hover
4083, 56.7803, Disabled, Hover
4084, 56.7937, Disabled, Hover
4085, 56.8069, Disabled, Hover
4086, 56.8214, Disabled, Hover
4087, 56.8361, Disabled, Hover
4088, 56.8492, Disabled, Hover
4089, 56.8634, Disabled, Hover
4090, 56.8771, Disabled, Hover
4091, 56.8903, Disabled, Hover
4092, 56.9049, Disabled, Hover
4093, 56.9186, Disabled, Hover
4094, 56.9321, Disabled, Hover
4095, 56.9466, Disabled, Hover
4096, 56.9608, Disabled, Hover
4097, 56.9746, Disabled, Hover
4098, 56.9874, Disabled, Hover
4099, 57.0023, Disabled, Hover
4100, 57.0159, Disabled, Hover
4101, 57.0299, Disabled, Hover
4102, 57.0446, Hover, Hover
4103, 57.0581, Hover, Hover
4104, 57.0712, Hover, Hover
4683, 65.1114, Hover, Disabled
4684, 65.1268, Hover, Disabled
4685, 65.1406, Hover, Disabled
4686, 65.1540, Hover, Disabled
4687, 65.1670, Hover, Disabled
4688, 65.1817, Hover, Disabled
