Frame, Timestamp, TPHotspot, HMD_x, HMD_z, Duration, WasTP, ZOI, Distance, RightHand_State, LeftHand_State
735, 7.0732, TP_Juguetes_2, 4.4687, 9.1903, 0.0067, False, Unknown, 0.0000, Disabled, Disabled
905, 9.4356, TP_Juguetes_2, 5.0260, 7.7050, 2.3486, True, Unknown, 1.6859, Disabled, Select
2592, 32.8788, TP_Juguetes, 5.0385, 7.6718, 0.0132, False, Unknown, 0.0000, Disabled, Disabled
2629, 33.3910, TP_Juguetes, 5.0381, 7.6707, 0.4993, False, Unknown, 0.0000, Disabled, Disabled
3598, 46.8637, TP_Mid_3, -1.4741, 6.8429, 2.0153, True, Unknown, 6.4411, Disabled, Select
4294, 56.5285, TP_Decoracion_2, -5.3649, 5.1509, 2.0955, True, Unknown, 10.6835, Disabled, Select
5556, 74.0697, TP_Mid_4, -5.3234, 5.1969, 0.7087, False, Unknown, 0.0000, Disabled, Hover
5821, 77.7505, TP_Mid_2, 2.0899, 4.4500, 1.9998, True, Unknown, 5.4070, Disabled, Select
5915, 79.0562, TP_Mid_2, 2.0533, 4.4527, 0.0135, False, Unknown, 0.0000, Disabled, Disabled
5952, 79.5689, TP_Mid_2, 2.0497, 4.4515, 0.5001, False, Unknown, 0.0000, Disabled, Disabled
6424, 86.1245, TP_Moda_2, 5.8930, 2.0390, 2.0005, True, Unknown, 7.3972, Disabled, Select
7965, 107.5553, TP_Moda, 5.8788, 1.9542, 0.0141, False, Unknown, 0.0000, Disabled, Disabled
8003, 108.0814, TP_Moda, 5.8729, 1.9522, 0.5140, False, Unknown, 0.0000, Disabled, Disabled
8039, 108.5824, TP_Moda, 5.8689, 1.9495, 0.4868, False, Unknown, 0.0000, Disabled, Disabled
8075, 109.0828, TP_Moda, 5.8710, 1.9483, 0.3199, False, Unknown, 0.0000, Disabled, Disabled
8432, 114.0411, TP_Mid, 2.0900, 7.3580, 2.0139, True, Unknown, 3.0795, Disabled, Select
8547, 115.6364, TP_Mid_2, 2.1619, 7.3768, 0.0139, False, Unknown, 0.0000, Disabled, Disabled
8566, 115.8993, TP_Moda, 2.1595, 7.3768, 0.0967, False, Unknown, 0.0000, Disabled, Hover
8584, 116.1495, TP_Mid_2, 2.1566, 7.3876, 0.4996, False, Unknown, 0.0000, Disabled, Hover
8735, 118.2488, TP_Juguetes, 5.0370, 6.4329, 2.0017, True, Unknown, 2.9207, Disabled, Select
11077, 150.7780, TP_Mid_2, 2.0900, 4.4501, 2.0134, True, Unknown, 5.4069, Select, Disabled
11505, 156.7206, TP_Moda_2, 5.8930, 2.0389, 1.9995, True, Unknown, 7.3973, Select, Disabled
