Frame, Timestamp, Object, DurationUntilRelease, RightHand_State, LeftHand_State
7941, 107.7941, baby_yoda, 5.4879, Hover, Normal
18703, 240.3060, quemador, 0.1942, Hover, Normal
18720, 240.5557, quemador, 0.2362, Hover, Normal
18778, 241.3614, quemador, 0.5973, Hover, Normal
18887, 242.8756, quemador, 0.7370, Hover, Normal
18907, 243.1539, quemador, 0.1670, Hover, Normal
19520, 251.6664, quemador, 1.5528, Hover, Normal
20019, 258.6262, quemador, 5.2205, Normal, Normal
29107, 385.4512, balon, 0.9314, Hover, Normal
29169, 386.3136, balon, 0.8483, Hover, Normal
29374, 389.1636, balon, 2.8335, Normal, Normal
32567, 433.6459, Microfono, 5.0108, Hover, Normal
33237, 442.9647, smartwatch, 2.1815, Normal, Normal
